# sample_id, xsection, sumwt, filter, kfactor, type
999999,17.74222134,3.485460e+05,1.0,1.0,signal
123456,13.90280947,6.270000e+05,1.0,1.0,wwqcd
364284,53.155,3462295.75,1.0,1.0,diboson
364250,1363.900, 412080.03125, 1.0,1.0,diboson
364254,13816.0, 333811.65625, 1.0,1.0,diboson
364255,3634.4, 286894.40625, 1.0,1.0,diboson
363718,4351.2, 26914814.0, 1.0,1.0,diboson
363719,4966.8, 9182654464.0,1.0,1.0,diboson
364242,4.246, 2281.84399414, 1.0,1.0,triboson
364243,2.055, 698.376525879, 1.0,1.0,triboson
364244,4.101, 1381.51013184, 1.0,1.0,triboson
364245,0.217, 221.041854858, 1.0,1.0,triboson
364246,1.919, 1960.77514648, .44581,1.0,triboson
364336,10.847, 7888.02832031, .46163,1.0,triboson
364337,6.158, 4680.50439453, .4551,1.0,triboson
364338,49.463, 10805.3916016, .32155,1.0,triboson
364339,23.395, 3590.63842773, .32049,1.0,triboson
363507,19.649, 24848.5585938, .43805,1.0,triboson
363508,0.449, 1722.93615723, 1.0,1.0,triboson
363509,13.572, 51968.0742188, .22139,1.0,triboson
410155,631.780, 1576383.0, 1.0,1.0,top
410218,44.382, 35020.8515625, 1.0,1.0,top
410219,44.391, 36137.734375, 1.0,1.0,top
410220,43.970, 33608.2929688, 1.0,1.0,top
410642,41915.0, 102195248.0, 1.0, 3.6922,top
410643,25544.0, 62263868.0, 1.0, 3.6517,top
410644,2222.6,  5272512.5, 1.0, 3.1399,top
410645,1407.7, 3298587.0, 1.0, 3.1392,top
410501,863860.0, 16773300224.0, .54383, 1.0,top
410000,824510.0, 298200032.0, .54383, 1.0,top
147806 ,2057.0e3, 5000000.0, 1.0,1.0,zjets
147807,2058.0e3, 400000.0, 1.0,1.0,zjets
363600,2.006000e+04,2.041483e+06,0.828220,1.000000,wjets
363601,2.006000e+04,2.075020e+05,0.151140,1.000000,wjets
363602,2.006000e+04,5.147087e+04,0.024910,1.000000,wjets
363603,9.284000e+02,7.073437e+05,0.708180,1.000000,wjets
363604,9.284000e+02,1.470757e+05,0.242180,1.000000,wjets
363605,9.284000e+02,3.598025e+04,0.053170,1.000000,wjets
363606,4.912000e+02,7.545091e+05,0.663630,1.000000,wjets
363607,4.912000e+02,7.927766e+04,0.276490,1.000000,wjets
363608,4.912000e+02,3.104226e+04,0.080520,1.000000,wjets
363609,1.544000e+02,7.159268e+05,0.626710,1.000000,wjets
363610,1.544000e+02,3.025947e+05,0.286570,1.000000,wjets
363611,154.4,7.679509e+04,0.10806,1.0,wjets
363612,2.999000e+01,6.189911e+05,0.572420,1.000000,wjets
363613,2.999000e+01,2.718198e+05,0.303750,1.000000,wjets
363614,2.999000e+01,1.266751e+05,0.125390,1.000000,wjets
363615,1.178000e+01,7.973879e+05,0.564790,1.000000,wjets
363616,1.178000e+01,3.209027e+05,0.312540,1.000000,wjets
363617,1.178000e+01,1.590504e+05,0.139140,1.000000,wjets
363618,4.309000e+00,7.810541e+05,0.533240,1.000000,wjets
363619,4.309000e+00,3.134696e+05,0.340060,1.000000,wjets
363620,4.309000e+00,1.548813e+05,0.148180,1.000000,wjets
363621,1.626000e-01,2.497653e+05,0.513470,1.000000,wjets
363622,1.626000e-01,1.306335e+05,0.364500,1.000000,wjets
363623,1.626000e-01,6.687738e+04,0.149580,1.000000,wjets
363624,2.006000e+04,2.041351e+06,0.826040,1.000000,wjets
363625,2.006000e+04,2.078171e+05,0.151030,1.000000,wjets
363626,2.006000e+04,5.149091e+04,0.027800,1.000000,wjets
363627,9.284000e+02,7.051219e+05,0.692560,1.000000,wjets
363628,9.284000e+02,1.472955e+05,0.235340,1.000000,wjets
363629,9.284000e+02,3.582981e+04,0.067790,1.000000,wjets
363630,4.945000e+02,7.581363e+05,0.674520,1.000000,wjets
363631,4.945000e+02,7.947698e+04,0.235670,1.000000,wjets
363632,4.945000e+02,3.104226e+04,0.075000,1.000000,wjets
363633,1.544000e+02,6.712573e+05,0.622840,1.000000,wjets
363634,1.544000e+02,2.865943e+05,0.281290,1.000000,wjets
363635,1.544000e+02,7.679509e+04,0.110090,1.000000,wjets
363636,2.999000e+01,6.228029e+05,0.600120,1.000000,wjets
363637,2.999000e+01,2.717352e+05,0.305210,1.000000,wjets
363638,2.999000e+01,1.282183e+05,0.117270,1.000000,wjets
363639,1.178000e+01,7.971283e+05,0.557830,1.000000,wjets
