###dataset_number crossSection_fb kFactor genFiltEff sumWeights

# WWEWK signal
999999 17.74222134 1.0 1.0 3.485460e+05
# WWQCD
123456 13.90280947 1.0 1.0 6.270000e+05

# Polarization samples - the LL will be manually tagged as 666666 internally but saved as 999999 (signal), the TX will stay as 990031
666666 16.94    1.0 1.0 2880000
990031 16.94    1.0 1.0 2880000

#diboson
364284 53.155   1.0 1.0 3462295.75
364250 1363.900 1.0 1.0 412080.03125
364254 13816.0  1.0 1.0 333811.65625
364255 3634.4   1.0 1.0 286894.40625
363718 4351.2   1.0 1.0 26914814.0
363719 4966.8   1.0 1.0 9182654464.0

#triboson
364242 4.246  1.0 1.0     2281.84399414
364243 2.055  1.0 1.0     698.376525879
364244 4.101  1.0 1.0     1381.51013184
364245 0.217  1.0 1.0     221.041854858
364246 1.919  1.0 0.44581 1960.77514648
364336 10.847 1.0 0.46163 7888.02832031
364337 6.158  1.0 0.4551  4680.50439453
364338 49.463 1.0 0.32155 10805.3916016
364339 23.395 1.0 0.32049 3590.63842773
363507 19.649 1.0 0.43805 24848.5585938
363508 0.449  1.0 1.0     1722.93615723
363509 13.572 1.0 0.22139 51968.0742188

#ttx
410155 631.780 1.0 1.0 1576383.0
410218 44.382  1.0 1.0 35020.8515625
410219 44.391  1.0 1.0 36137.734375
410220 43.970  1.0 1.0 33608.2929688

#single top
410642 41915.0 3.6922 1.0 102195248.0
410643 25544.0 3.6517 1.0 62263868.0
410644 2222.6  3.1399 1.0 5272512.5
410645 1407.7  3.1392 1.0 3298587.0

#ttbar
410501 863860.0 1.0 0.54383 16773300224.0

#zjets
147806 2057.0e3 1.0 1.0 5000000.0
147807 2058.0e3 1.0 1.0 400000.0

#MG Wjets enu
363600 2.006000e+04 1.000000 0.828220 2.041483e+06
363601 2.006000e+04 1.000000 0.151140 2.075020e+05
363602 2.006000e+04 1.000000 0.024910 5.147087e+04
363603 9.284000e+02 1.000000 0.708180 7.073437e+05
363604 9.284000e+02 1.000000 0.242180 1.470757e+05
363605 9.284000e+02 1.000000 0.053170 3.598025e+04
363606 4.912000e+02 1.000000 0.663630 7.545091e+05
363607 4.912000e+02 1.000000 0.276490 7.927766e+04
363608 4.912000e+02 1.000000 0.080520 3.104226e+04
363609 1.544000e+02 1.000000 0.626710 7.159268e+05
363610 1.544000e+02 1.000000 0.286570 3.025947e+05
363611 154.4        1.000000 0.10806  7.679509e+04
363612 2.999000e+01 1.000000 0.572420 6.189911e+05
363613 2.999000e+01 1.000000 0.303750 2.718198e+05
363614 2.999000e+01 1.000000 0.125390 1.266751e+05
363615 1.178000e+01 1.000000 0.564790 7.973879e+05
