###dataset_number crossSection_pb kFactor genFiltEff events sumWeights

#MG Wjets enu
363600 2.006000e+04 1.000000 0.828220 2000000 2.041483e+06
363601 2.006000e+04 1.000000 0.151140 199809 2.075020e+05
363602 2.006000e+04 1.000000 0.024910 50000 5.147087e+04
363603 9.284000e+02 1.000000 0.708180 499445 7.073437e+05
363604 9.284000e+02 1.000000 0.242180 100000 1.470757e+05
363605 9.284000e+02 1.000000 0.053170 25000 3.598025e+04
363606 4.912000e+02 1.000000 0.663630 495078 7.545091e+05
363607 4.912000e+02 1.000000 0.276490 49981 7.927766e+04
363608 4.912000e+02 1.000000 0.080520 19993 3.104226e+04
363609 1.544000e+02 1.000000 0.626710 450006 7.159268e+05
363610 1.544000e+02 1.000000 0.286570 184203 3.025947e+05
363611 154.4 1.0 0.10806 47442 7.679509e+04
363612 2.999000e+01 1.000000 0.572420 385001 6.189911e+05
363613 2.999000e+01 1.000000 0.303750 166465 2.718198e+05
363614 2.999000e+01 1.000000 0.125390 78038 1.266751e+05
363615 1.178000e+01 1.000000 0.564790 494233 7.973879e+05
363616 1.178000e+01 1.000000 0.312540 198327 3.209027e+05
363617 1.178000e+01 1.000000 0.139140 99040 1.590504e+05
363618 4.309000e+00 1.000000 0.533240 485164 7.810541e+05
363619 4.309000e+00 1.000000 0.340060 196224 3.134696e+05
363620 4.309000e+00 1.000000 0.148180 97873 1.548813e+05
363621 1.626000e-01 1.000000 0.513470 152444 2.497653e+05
363622 1.626000e-01 1.000000 0.364500 81169 1.306335e+05
363623 1.626000e-01 1.000000 0.149580 41748 6.687738e+04

#MG Wjets munu
363624 2.006000e+04 1.000000 0.826040 2000000 2.041351e+06
363625 2.006000e+04 1.000000 0.151030 200000 2.078171e+05
363626 2.006000e+04 1.000000 0.027800 50000 5.149091e+04
363627 9.284000e+02 1.000000 0.692560 498006 7.051219e+05
363628 9.284000e+02 1.000000 0.235340 100000 1.472955e+05
363629 9.284000e+02 1.000000 0.067790 24991 3.582981e+04
363630 4.945000e+02 1.000000 0.674520 496752 7.581363e+05
363631 4.945000e+02 1.000000 0.235670 50000 7.947698e+04
363632 4.945000e+02 1.000000 0.075000 19993 3.104226e+04
363633 1.544000e+02 1.000000 0.622840 422537 6.712573e+05
363634 1.544000e+02 1.000000 0.281290 174981 2.865943e+05
363635 1.544000e+02 1.000000 0.110090 47442 7.679509e+04
363636 2.999000e+01 1.000000 0.600120 387109 6.228029e+05
363637 2.999000e+01 1.000000 0.305210 166207 2.717352e+05
363638 2.999000e+01 1.000000 0.117270 79108 1.282183e+05
363639 1.178000e+01 1.000000 0.557830 493666 7.971283e+05
363640 1.178000e+01 1.000000 0.301550 198287 3.211861e+05
363641 1.178000e+01 1.000000 0.147930 98951 1.593246e+05
363642 4.309000e+00 1.000000 0.537910 483719 7.782812e+05
363643 4.309000e+00 1.000000 0.304400 195108 3.124180e+05
363644 4.309000e+00 1.000000 0.176060 98064 1.552420e+05
363645 1.626000e-01 1.000000 0.553400 154660 2.534319e+05
363646 1.626000e-01 1.000000 0.324820 81856 1.319629e+05
363647 1.626000e-01 1.000000 0.173810 41833 6.680636e+04

#MG Wjets taunu
363648 2.003000e+04 1.000000 0.828080 2000000 2.040989e+06
363649 2.003000e+04 1.000000 0.151460 200000 2.078467e+05
363650 2.003000e+04 1.000000 0.027970 50000 5.148978e+04
363651 9.283000e+02 1.000000 0.696950 489724 6.936646e+05
363652 9.283000e+02 1.000000 0.238110 99904 1.471499e+05
363653 9.283000e+02 1.000000 0.042340 24851 3.566576e+04
363654 4.931000e+02 1.000000 0.661780 487092 7.431129e+05
363655 4.931000e+02 1.000000 0.339120 49986 7.930764e+04
363656 4.931000e+00 1.000000 0.085140 19988 3.118957e+04
363657 4.541000e+00 1.000000 0.622510 478530 7.606479e+05
363658 1.541000e+02 1.000000 0.310200 172357 2.829883e+05
363659 1.541000e+02 1.000000 0.093390 47131 7.637019e+04
363660 30.26 1.0 0.56637 385001 6.189911e+05
363661 3.026000e+01 1.000000 0.290500 194984 3.185550e+05
363662 30.26 1.0 0.12433 78038 1.266751e+05
363663 1.193000e+01 1.000000 0.554130 465518 7.515869e+05
363664 1.193000e+01 1.000000 0.320010 196956 3.187983e+05
363665 1.193000e+01 1.000000 0.124140 78781 1.267598e+05
363666 4.351000e+00 1.000000 0.528220 494788 7.947479e+05
363667 4.351000e+00 1.000000 0.313230 198806 3.169402e+05
363668 4.351000e+00 1.000000 0.153630 99286 1.569961e+05
363669 1.700000e-01 1.000000 0.496580 164728 2.683149e+05
363670 1.700000e-01 1.000000 0.302400 73302 1.172355e+05
363671 1.700000e-01 1.000000 0.166440 43316 6.870653e+04
